Sample	Rep	b0	A	umax	L	z	umax_lw	umax_up	umax_lw_FI	umax_up_FI	TransferTime	Strain	Replicate	Day
L0B1-100	1	0.0868506737631	0.566020981628	0.143655997578	6.03513487822	-2.06210211882	0.0899790847985	0.197332910358	0.0899780984545	0.197333896702	1	B	1	100
L0D1-100	1	0.0504854345704	0.803535856772	0.109295053736	20.0	-3.41598138518	0.102342495338	0.116247612134	0.102342367581	0.116247739891	1	D	1	100
L0F1-100	1	0.0784464257079	1.08442777638	0.126297557165	9.3409001529	-2.60965388999	0.115189084192	0.137406030138	0.115188880067	0.137406234263	1	F	1	100
L0B1-100	2	0.0832104786093	0.747983470015	0.122231545723	5.91618717692	-2.95084206535	0.108704820139	0.135758271307	0.108704571578	0.135758519869	1	B	1	100
L0D1-100	2	0.0502378365862	0.881674840014	0.0981223591553	20.0	-3.95367922398	0.0948091787112	0.101435539599	0.0948091178296	0.101435600481	1	D	1	100
L0F1-100	2	0.0813421138404	1.06835507099	0.122811298447	9.09134816176	-2.59282079116	0.111799785436	0.133822811459	0.111799583093	0.133823013802	1	F	1	100
L0B1-100	3	0.0873298044226	0.692355096987	0.12491779919	6.19277404345	-2.66445309636	0.104601574625	0.145234023755	0.104601201302	0.145234397077	1	B	1	100
L0D1-100	3	0.047970659544	0.620353550449	0.0812232092808	20.0	-3.57736730502	0.0751319190491	0.0873144995125	0.0751318071182	0.0873146114434	1	D	1	100
L0B2-100	1	0.0854826037919	0.991886319745	0.134639754285	5.7022869689	-2.008899194	0.110695102892	0.158584405679	0.110694662895	0.158584845675	1	B	2	100
L0D2-100	1	0.0426837319169	0.155378268621	0.00292369130302	11.4045608174	-7.10367025784	0.00290401965367	0.00294336295238	0.00290401929219	0.00294336331385	1	D	2	100
L0F2-100	1	0.0859760005654	1.20509895164	0.128333257296	8.97398073942	-3.31186629794	0.123046007643	0.13362050695	0.123045910486	0.133620604106	1	F	2	100
L0B2-100	2	0.0833544395904	1.04661555871	0.126756956059	5.69481338368	-2.38147838365	0.112278724726	0.141235187393	0.11227845868	0.141235453439	1	B	2	100
L0D2-100	2	0.046111579063	0.0997874339623	0.00339191982398	11.2965287548	-6.79675523111	0.00334316339656	0.0034406762514	0.00334316250063	0.00344067714733	1	D	2	100
L0F2-100	2	0.0853234198171	1.22211755698	0.125667803945	9.02704003228	-3.41629850482	0.121065361484	0.130270246406	0.121065276911	0.130270330978	1	F	2	100
L0B2-100	3	0.0849582083448	1.01939054638	0.118961665523	5.9080349914	-2.32918037428	0.104606608107	0.133316722939	0.104606344325	0.133316986721	1	B	2	100
L0D2-100	3	0.0407668864633	0.286616717082	0.00405814198896	17.1568128083	-7.45921759881	0.00401982623509	0.00409645774283	0.00401982553101	0.00409645844691	1	D	2	100
L0B3-100	1	0.0679321248871	0.836674500808	0.10479565137	6.44415721111	-4.24394315078	0.10191948498	0.107671817759	0.101919432129	0.10767187061	1	B	3	100
L0F3-100	1	0.0659300885353	1.459440233	0.109212493537	7.62412639419	-3.73205739552	0.107027759392	0.111397227682	0.107027719246	0.111397267828	1	F	3	100
L0B3-100	2	0.0628630046104	0.836842974673	0.0898182547394	5.82364637085	-3.93735989124	0.0865444564543	0.0930920530244	0.0865443962964	0.0930921131823	1	B	3	100
L0D3-100	2	0.0471251973878	0.23030038926	0.00632546798233	16.707337615	-5.94115623101	0.00623011375867	0.00642082220599	0.00623011200648	0.00642082395818	1	D	3	100
L0F3-100	2	0.0759986461474	1.32948519906	0.115020468427	8.04301661298	-3.49829800398	0.111638254611	0.118402682242	0.111638192461	0.118402744392	1	F	3	100
L0B3-100	3	0.0598842337315	0.817329742982	0.0847014219617	6.49673120581	-4.14381240192	0.0822041718931	0.0871986720303	0.0822041260047	0.0871987179187	1	B	3	100
L0D3-100	3	0.044658963957	0.220512987798	0.00450678813471	14.5753153539	-5.97158009088	0.00444241642274	0.00457115984668	0.00444241523987	0.00457116102955	1	D	3	100
L0B4-100	1	0.0572190968772	0.913564110058	0.0989751218901	5.62619814993	-4.11536738184	0.0962220091094	0.101728234671	0.0962219585194	0.101728285261	1	B	4	100
L0D4-100	1	0.0471767659706	0.186861485787	0.00605696525491	18.7190305053	-5.58386975431	0.0058819924083	0.00623193810152	0.00588198919308	0.00623194131674	1	D	4	100
L0F4-100	1	0.0790856611376	1.20803144958	0.1253753685	10.091248253	-3.27473307311	0.120049246878	0.130701490122	0.120049149007	0.130701587992	1	F	4	100
L0B4-100	2	0.0514243764073	0.936306420078	0.0924933055769	5.11295395736	-3.67717590092	0.0886234902503	0.0963631209035	0.0886234191403	0.0963631920135	1	B	4	100
L0D4-100	2	0.0483163747702	0.227118235123	0.00700307102249	16.6399641883	-5.79819793393	0.006874889851	0.00713125219399	0.0068748874956	0.00713125454939	1	D	4	100
L0F4-100	2	0.0783403429882	1.21176103659	0.119430844593	10.088032947	-3.34311700677	0.11471778725	0.124143901936	0.114717700645	0.124143988541	1	F	4	100
L0B4-100	3	0.0570636020943	0.875723868475	0.0911104802029	5.50653797082	-3.97201939034	0.088081323135	0.0941396372708	0.0880812674725	0.0941396929333	1	B	4	100
L0D4-100	3	0.0475045902559	0.209340851347	0.00601567795105	17.864442034	-5.80045472391	0.00589586264818	0.00613549325392	0.00589586044651	0.0061354954556	1	D	4	100
L0B5-100	1	0.0846643604584	0.887017205452	0.120417578698	5.49949770252	-2.17920497362	0.10014860056	0.140686556837	0.100148228106	0.140686929291	1	B	5	100
L0D5-100	1	0.0476454961011	1.02694070038	0.0913663048451	19.9396733168	-3.94313957338	0.0887631645882	0.0939694451019	0.0887631167541	0.0939694929361	1	D	5	100
L0F5-100	1	0.0670912942451	1.25746386723	0.105031462831	6.46990583333	-3.49748189917	0.101707703469	0.108355222193	0.101707642393	0.108355283269	1	F	5	100
L0B5-100	2	0.0846269089759	0.900096024733	0.109827191385	5.42442697534	-2.5426766052	0.0973023875912	0.122351995179	0.0973021574407	0.122352225329	1	B	5	100
L0D5-100	2	0.0476060046145	1.05770842837	0.0868949022833	18.6804353583	-4.24006756562	0.0852123914564	0.0885774131101	0.0852123605393	0.0885774440272	1	D	5	100
L0F5-100	2	0.0628622940975	1.28629936393	0.0977658715569	6.78764598089	-3.12922607379	0.0934178573772	0.102113885737	0.0934177774799	0.102113965634	1	F	5	100
L0B5-100	3	0.087166531454	0.888529328647	0.103825812428	5.67317035612	-2.54992448049	0.092180611909	0.115471012946	0.0921803979218	0.115471226934	1	B	5	100
L0D5-100	3	0.0461988795253	0.996572077645	0.0727244400435	17.9111195362	-4.40066694394	0.0715148868684	0.0739339932186	0.0715148646421	0.0739340154448	1	D	5	100
L0F1-100	3	0.0852717785609	0.942083272638	0.134772191745	9.78583559917	-2.3687131022	0.116167367902	0.153377015589	0.116167026028	0.153377357463	1	F	1	100
L0F2-100	3	0.092566429257	1.08172434622	0.134576727371	9.38770613223	-2.63286410589	0.122318141781	0.146835312961	0.122317916523	0.14683553822	1	F	2	100
L0F3-100	3	0.0953799795376	1.0674384813	0.124587948564	9.57378373525	-2.7062245141	0.114287570707	0.134888326422	0.114287381432	0.134888515697	1	F	3	100
L0F4-100	3	0.0875943037951	1.12846063742	0.13183928179	10.3826283024	-2.7926138394	0.122096450687	0.141582112892	0.122096271657	0.141582291922	1	F	4	100
L0F5-100	3	0.0816313983271	1.10935173165	0.103459591529	8.10008976109	-3.10642294482	0.098318584507	0.108600598551	0.0983184900381	0.10860069302	1	F	5	100
L0P1-100	2	0.0692396406606	0.658516480688	0.196714766009	4.07357691112	-2.13588684232	0.124735974785	0.268693557232	0.124734652134	0.268694879884	1	P	1	100
L0P1-100	3	0.0699164758886	0.67188943794	0.183346964298	4.2567347647	-2.20544542738	0.126150830436	0.240543098159	0.126149779424	0.240544149171	1	P	1	100
L0J1-100	1	0.0876977017999	0.895443684855	0.28953036739	6.60825829451	-1.97610106745	0.204434570504	0.374626164276	0.20443300682	0.37462772796	1	J	1	100
L0J1-100	2	0.0932968953685	0.908606820861	0.292910131511	6.52756759989	-1.96882831711	0.207701626987	0.378118636036	0.207700061232	0.378120201791	1	J	1	100
L0J1-100	3	0.0899350422304	0.886499787942	0.292924685434	6.4863936242	-1.87984527455	0.197151275136	0.388698095732	0.197149515245	0.388699855624	1	J	1	100
L1B1-100	1	0.0573582363291	0.794028960852	0.127140648303	11.6340653832	-2.81915507456	0.112347153438	0.141934143168	0.112346881599	0.141934415007	10	B	1	100
L1B1-100	2	0.0584847323677	0.610172491657	0.131684406401	11.3377838812	-2.6712274669	0.105846332224	0.157522480578	0.105845857435	0.157522955367	10	B	1	100
L0P2-100	1	0.0543223005887	0.790491398086	0.162667909998	4.45880485499	-2.50491957209	0.134762019654	0.190573800342	0.134761506867	0.190574313128	1	P	2	100
L0P2-100	2	0.0548256917342	0.834763742064	0.166449140005	3.82169961663	-2.75535296746	0.145151909456	0.187746370554	0.145151518107	0.187746761903	1	P	2	100
L0P2-100	3	0.0552962372739	0.829619958385	0.168112507042	3.84417878117	-2.74141856102	0.14605921316	0.190165800924	0.146058807918	0.190166206166	1	P	2	100
L0J2-100	1	0.0891415977863	1.05044174645	0.284088595003	6.82986037016	-2.43716598016	0.240066233662	0.328110956344	0.240065424726	0.32811176528	1	J	2	100
L0J2-100	2	0.0938315923712	1.0285705581	0.285751979302	6.57148134613	-2.37976605572	0.237761313416	0.333742645189	0.23776043156	0.333743527045	1	J	2	100
L0J2-100	3	0.0921813276904	1.04337646601	0.28531036385	6.46995078252	-2.3662346914	0.237601865452	0.333018862247	0.237600988781	0.333019738918	1	J	2	100
L1B2-100	1	0.0543670190945	0.684449852422	0.086817759285	9.41012276625	-3.07113833996	0.0783002884344	0.0953352301357	0.078300131921	0.0953353866491	10	B	2	100
L1B2-100	2	0.0536677031782	0.552589028962	0.12442083401	12.4333249066	-2.81062091905	0.100294129621	0.148547538399	0.100293686279	0.148547981741	10	B	2	100
L0P3-100	1	0.0636682621992	0.732598374622	0.170835607383	4.28086349314	-2.42042495816	0.134465364857	0.207205849909	0.134464696533	0.207206518233	1	P	3	100
L0P3-100	2	0.0589398330058	0.778760343584	0.163349393226	4.08067727459	-2.68064389694	0.138864996366	0.187833790085	0.138864546452	0.18783424	1	P	3	100
L0P3-100	3	0.0584563125006	0.786658361774	0.160818026888	4.12479323075	-2.80538675518	0.139963828887	0.18167222489	0.139963445679	0.181672608097	1	P	3	100
L0J3-100	1	0.0864721552875	1.01149447412	0.277939603818	6.62812553526	-2.52797505946	0.23716764987	0.318711557767	0.237166900662	0.318712306975	1	J	3	100
L0J3-100	2	0.0876008084058	1.02637119415	0.283101202784	6.46306775823	-2.50260029724	0.241184096739	0.32501830883	0.241183326488	0.32501907908	1	J	3	100
L0J3-100	3	0.082732156778	0.991591820079	0.274980704141	6.93397285499	-2.45484786925	0.230885730362	0.319075677919	0.230884920091	0.31907648819	1	J	3	100
L1B3-100	1	0.0699994856347	0.755978451893	0.121905425625	8.85063418686	-2.03016208441	0.0927445004622	0.151066350787	0.0927439646135	0.151066886636	10	B	3	100
L1B3-100	2	0.0631212820946	0.737319560935	0.108336141171	9.88132400834	-2.12786305896	0.0847972986257	0.131874983717	0.084796866086	0.131875416257	10	B	3	100
L0P4-100	1	0.061129500369	0.745181226271	0.173319402452	4.13194089304	-2.61488499883	0.142489126274	0.204149678629	0.14248855975	0.204150245153	1	P	4	100
L0P4-100	2	0.0589508971188	0.78197679232	0.166242812421	3.87422982917	-2.89571361958	0.145623099624	0.186862525219	0.145622720725	0.186862904118	1	P	4	100
L0P4-100	3	0.0596827961547	0.775512302469	0.169688749176	3.66549577668	-2.88596949004	0.147901047468	0.191476450884	0.147900647107	0.191476851246	1	P	4	100
L0J4-100	1	0.0869832976614	1.07702238475	0.279215319333	7.00731859604	-2.55714593263	0.24201739947	0.316413239197	0.242016715936	0.31641392273	1	J	4	100
L0J4-100	2	0.0860263767262	1.06982403879	0.283699317118	6.99843070301	-2.50806346039	0.243661018443	0.323737615793	0.243660282716	0.32373835152	1	J	4	100
L0J4-100	3	0.0859700077549	1.09692768063	0.287260984941	7.10875545304	-2.4755400701	0.246487249036	0.328034720846	0.246486499796	0.328035470087	1	J	4	100
L1B4-100	1	0.0519227561782	0.599810048104	0.0813677880813	7.89941702999	-4.13210887799	0.0780621446871	0.0846734314756	0.078062083944	0.0846734922186	10	B	4	100
L1B4-100	2	0.0572869892811	0.483654417172	0.0888069190199	8.53113620014	-2.94748851787	0.0740680679306	0.103545770109	0.0740677970957	0.103546040944	10	B	4	100
L0P5-100	1	0.0630039418734	0.723801540897	0.171475017878	4.13051441188	-2.48311828246	0.135972754683	0.206977281073	0.135972102309	0.206977933447	1	P	5	100
L0P5-100	2	0.0614290076018	0.770078212715	0.166401724262	3.91975692808	-2.77655042032	0.142830561705	0.189972886818	0.142830128571	0.189973319952	1	P	5	100
L0P5-100	3	0.0602827403633	0.76841958132	0.163253596743	3.92707754833	-2.83803438319	0.141732459671	0.184774733815	0.141732064208	0.184775129279	1	P	5	100
L0J5-100	1	0.0900188270888	1.02280701384	0.284136359012	6.72539666285	-2.38280024014	0.236265349062	0.332007368962	0.236264469404	0.332008248619	1	J	5	100
L0J5-100	2	0.0951219605293	1.01906068821	0.289216350758	6.69667226368	-2.35960691443	0.238948635914	0.339484065602	0.238947712216	0.3394849893	1	J	5	100
L0J5-100	3	0.0918916202654	1.0178857896	0.293682808729	6.66712691926	-2.26160460728	0.237249427092	0.350116190367	0.237248390096	0.350117227363	1	J	5	100
L1B5-100	1	0.0436009188453	0.980308211394	0.0802155987723	8.90280545977	-4.48328466385	0.079011416012	0.0814197815325	0.0790113938844	0.0814198036601	10	B	5	100
L1B5-100	2	0.0538238393791	0.79338026423	0.088206310634	9.76756520811	-3.05543083812	0.0812772266314	0.0951353946366	0.0812770993055	0.0951355219625	10	B	5	100
L1B1-100	3	0.063306116688	0.747383019393	0.1391685182	10.7744110124	-3.19661352264	0.12609529136	0.152241745041	0.126095051132	0.152241985269	10	B	1	100
L1B2-100	3	0.0579990854105	0.567040058292	0.122724377911	11.0998194062	-3.24339972726	0.107091102846	0.138357652976	0.107090815576	0.138357940247	10	B	2	100
L1B3-100	3	0.0590652330485	0.753895093362	0.133922653798	9.81075417569	-1.88255948648	0.0961237817841	0.171721525811	0.0961230872082	0.171722220387	10	B	3	100
L1B4-100	3	0.0514388180831	0.630939506869	0.0841059532839	7.50471639536	-2.92469471812	0.0742868328943	0.0939250736734	0.0742866524623	0.0939252541054	10	B	4	100
L1B5-100	3	0.0560366133373	0.923268293332	0.113789142383	9.44495702905	-2.90371916247	0.104493217156	0.12308506761	0.104493046338	0.123085238428	10	B	5	100
